Championship Title,Number of Matches,Team 1,Team 2,Score,Match Time
دوري أبطال أفريقيا,2,ماميلودي صنداونز,يانج افريكانز,0 - 0,20:00
دوري أبطال أفريقيا,2,الأهلي,سيمبا,2 - 0,22:00
الدوري المصري,1,بيراميدز,طلائع الجيش,0 - 0,22:00
الدوري الإيطالي,1,ساليرنيتانا,ساسولو,2 - 2,20:45
الدوري السعودي,4,الخليج,الهلال,1 - 4,21:00
الدوري السعودي,4,الاتحاد,التعاون,0 - 0,21:00
الدوري السعودي,4,الوحدة,أهلي جدة,1 - 1,21:00
الدوري السعودي,4,ضمك,النصر,0 - 1,21:00
الدوري الألماني,1,آ. فرانكفورت,فيردر بريمن,1 - 1,20:30
الدوري الفرنسي,1,ليل,مارسيليا,3 - 1,21:00
الدوري البرتغالي,1,فيرنسي,بوافيستا,2 - 0,21:15
دوري نجوم قطر,2,الدحيل,السد القطري,3 - 1,20:30
دوري نجوم قطر,2,الوكرة,العربي,2 - 4,20:30
